,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
445,Haligowan,Teacher; Haligonian in Ottawa by way of Gangneung and Daegu; 전 관동중학교 영어 선생님; He/Him,"Ottawa, Ontario",299,185,4408,3439,"Canada is expanding its travel ban to include Nigeria, Malawi and Egypt. (After previously imposing bans on southern African countries.)
Interestingly, there are far more confirmed cases of Omicron in European countries than in Nigeria, Malawi or Egypt. But they're not banned.",[]
446,0moba,"Building the future of healthcare @CarbonHealth | @Dartmouth MD,MBA - ER doc on weekends | Errand boy @digitalhealthNg & @webelievehealth | I’ll do it for Dodo",Boston | San Francisco | Lagos,1484,1956,4388,103,"The Omicron coronavirus variant was present in the Netherlands a week before two flights arrived from South Africa carrying the virus, Dutch health officials now say. https://t.co/l2LbLFlexQ",[]
447,bellum_omnium7,"Alright, stop, collaborate, and listen/Panem et Circenses",United Kingdom,8771,8054,261730,1264,This once again shows why Johnson is unfit to lead us through the #Omicron crisis. https://t.co/7poVrs8qCR,['Omicron']
448,Zedxten1,The truth will out!,,257,99,1644,429,"Oh, no wonder GPs are so keen to administer jabs! 

£30 PER JAB?

https://t.co/2XlKcgHmRd https://t.co/eLktAs87AY",[]
449,_AAdisson_,,,60,11,1009,131,"I hope Trudeau nails the border shut because of Omicron.  I mean really close it down.  Nothing would make me happier than seeing a bunch of people who got vaccinated, just so they could go to Cuba for a week, get royally screwed.",[]
450,cara_jetsfan,Education attorney,"Woodcliff Lake, NJ",209,87,9043,2570,"The best protection against the Omicron variant for yourself, your neighbors, and your family is getting fully vaccinated—and getting a booster shot.",[]
451,k29664911,#news #follome　#follo　,America,1132,281,259240,0,Omicron was in Netherlands before South Africa raised alarm about new coronavirus variant – The Washington Post https://t.co/kzdzfGcdqV,[]
452,akbarth3great,I work on self driving cars for a living // Autopilot @Tesla,Cloud ☁️,64,13326,334224,4,"Stocks, Bitcoin fall on Omicron, inflation concerns https://t.co/2zgt7xHY3E",[]
453,Neadybrady,Former Banker. Now Mental Health Nurse. Loves Running....slowly.,Ireland,756,450,4181,192,"To further support what I stated above: Omicron Unlikely to Cause Severe Illness in Vaccinated People, BioNTech Founder Says. Variant could lead to more infections but vaccinated people likely remain protected from severe disease. https://t.co/72i2ugpMHK",[]
454,Swellwell,"Building @HiveAdvisory @Garnetlegal 

#Techlawyer #Startups #TechPolicy #Finance #Sports #IP

Aggressively pursuing  #EndPolicebrutality",garnetlawpractice.com ,962,644,58264,3439,"Canada is expanding its travel ban to include Nigeria, Malawi and Egypt. (After previously imposing bans on southern African countries.)
Interestingly, there are far more confirmed cases of Omicron in European countries than in Nigeria, Malawi or Egypt. But they're not banned.",[]
455,Pandu_23,very eien ni tomaranai,,163,188,27385,743,"Confirmed cases of Omicron variant:
 
- Australia 
- Austria 
- Belgium 
- Botswana 
- Brazil
- Canada 
- Czech Republic 
- Denmark 
- Germany 
- Hong Kong 
- Israel 
- Italy 
- Japan
- Netherlands 
- Portugal 
- South Africa 
- Spain
- Sweden 
- Switzerland
- UK",[]
456,pjpaton,,,7057,6416,360839,515,"Looks like Omicron may have been in Europe for weeks. In Netherlands the variant was found in newly sequenced test samples taken between 19-23 November

Surely this is evidence that Omicron is mild as it has gone undetected? Also a damning indictment for travel restrictions!",[]
457,Tony_Harman,When they gave out the brains I was missing. Sent down from University of life as a failure. Generally would prefer not to wake up next day. Have Aspergers.,Australia,321,260,31173,286,"Scott Morrison failed to deliver purpose-built quarantine facilities that could be shielding us from new 🦠variants, including Omicron. Every crisis is someone else's responsibility to @ScottMorrisonMP “it’s not my job” “it’s a matter for the states” “I don’t hold a hose” #auspol https://t.co/SAxCrTpcWF",[]
458,Rvpobey,Vibes Don’t Lie. #Kaizen🎴. Instagram & Snapchat: Rvpobey,Out & About ΩΨΦ,1083,610,133166,418,"COVID-19: Omicron variant 'highly infectious' and booster jabs may need 'double' dose, says Moderna CEO https://t.co/N94W5lVolV",[]
459,monykalyn,ah to only live in the moment - no fear,SWMO,436,338,11583,56,The right answer to Omicron is: Take care of yourself and your family. Get vaccinated and get a booster. And then live as normal as you want. Omicron is no different than Delta or any other variant on this score. Dems need to ditch the community hyper-safetyism messaging ASAP. https://t.co/JIsv2681EJ,[]
460,jomacly,Woman of her time,leeds,700,1101,61453,5,"We reap what we sow. Instead of vaccinating the world as fast as possible to prevent mutation of the virus, we've been fighting over profits and let a whole new strain develop. Capitalism is our sickness; socialism is our vaccine. 

#PeoplesVaccine 

https://t.co/gShy2C465h",[]
461,danlyke,"Square dance caller, computer geek, cyclist, woodworker, Petaluma resident. I only follow back if I think you're actually engaging me. he/him.","Petaluma, California, USA",1270,1323,50369,0,"I'll bite: Looks like the Biden administration is careful to refer to it as ""the Omicron variant, which is spreading through Southern Africa"". Which is a far cry from describing it strictly in terms of a particular geography or people.
https://t.co/IS8s6sBMEE https://t.co/Fj5zdAI2PX",[]
462,JatinderJain12,I am retired officer enjoying my life.,,377,262,13236,77,"Former cricketer Kevin Pietersen described India as the ""most fabulous country"" with warm hearted people
https://t.co/BPmklGsGjs",[]
463,Cra_ig4,Hi do not ask for itune or Amazon cards or money for food rent or new phones i am not a bank. Get a job. Dont ask for bank or credit card info,"Los Angeles, CA",520,63,144,128,"President @JoeBiden’s message to Americans concerned about the Omicron variant: Get vaccinated.
https://t.co/zntT8msaJZ",[]
464,RMJewell,Ex-Labour. Pro-Corbyn. Socialist. Pro-EU. Anti-Brexit. NHS protector. Pompey Supporter. Today will be better than yesterday but not as good as tomorrow.,"Surrey, UK",7416,6749,89645,237,"WEDNESDAY!!!

The lying blond bastard enables omicron spread in the country by telling us not to avoid socialising.

His bullshit already killed &gt;160,000 of us..

Can’t we arrest him for gross misconduct?

NOT MOVING ON!!!

You?",[]
465,Coco_olz,I'm only kind and thoughtful but not perfect..,"Lagos, Nigeria ",330,398,20522,144,"#BREAKING Canada bans travelers from Egypt, Nigeria and Malawi over Omicron variant fears, an official says https://t.co/gm8P2vK9lc",['BREAKING']
466,tigerwa70250694,I am a man .,,44,126,54816,79,Fox: Confirmed Cases of Omicron Found in Canada https://t.co/Y2kwFctX1w,[]
467,MaxFromQuebec,"Film and TV critic: @filmcred/@TheDisInsider/@CultVultures (🍅)/@InSessionFilm/@AwardsRadar/#OFTA
RT, likes, follows ≠ endorsement 
Tweets/Opinions = MY OWN",GET THE VACCINE,4412,1268,20722,464,Cartoon for @chronicleherald #Omicron #COVID19 https://t.co/zXazvNeXcy,"['Omicron', 'COVID19']"
468,79topper,#Election2016 #VoteBlue2020 #nevertrump #bluewave2020 #NHgirl 🇺🇸 🇺🇸🌊🌊#BIDEN/HARRIS2020,"Florida, USA",6970,6869,846115,44,"Scoop: The Biden admin is preparing stricter testing requirements for all travelers entering the U.S., including returning Americans, amid Omicron fears, according to three federal health officials. 

Story w/ @bylenasun

https://t.co/w4sVL3NnYV",[]
469,AdvertisingLaw,"#Christian | #lawyer (Ret.) Tweets on Christianity, politics, conservative issues, #MAGA. Author/publisher (Ret.) advertising law & #FTC.","Roxbury, NJ",30628,30797,157991,1,"VIDEO: Biden Stresses Vaccines In Response To Omicron Variant Despite First Four Cases Being Recorded In Vaccinated Individuals 

https://t.co/o8bvbEVamP 

#COVID19 #coronavirus #vaccines #omicron","['COVID19', 'coronavirus', 'vaccines', 'omicron']"
470,crimegenemedia,Soundcatcher. Symptom of the Universe.,Neighbourhood of Infinity,1850,772,30835,6,"""Double Dose"" Omicron Booster Every 3 Months, Compulsory Jabs Are Here &amp;... https://t.co/LpQjxpTluT ALL ABOARD! #TLAVPirateStream #TheLastAmericanVagabond #TheDailyWrapUp https://t.co/ac1AWNvTNE",[]
471,tdpopcorn,Just here to stay informed until this is all sorted...,"New York, NY",518,363,300699,62,"via @NYTimes Just what we don’t need as Delta surges, #Omicron is coming, a judge tossing away vaccine mandates for healthcare workers. I swear we live in a f*cked up country. Over 800,000 dead Americans and the court rules for Republican AG’s.  https://t.co/VGduYEOeF9",['Omicron']
472,nicoled_foster,Global Health Law. Intl Human Rights. Intl Trade. Pedagogy. Former @WTO negotiator. Lover of travel / experiencing new places and cultures.,,156,130,2157,15,Trevor Noah on Omicron: ‘How did that happen after everything we did?’ https://t.co/uaG6UbSN8x,[]
473,onwebanalytics,Digital #Marketing & #Strategy | #SEM #Google #Ads | #SEO | #Analytics | #Facebook & #Social Media Strategy,"Montreal, Quebec",3125,942,22349,1038,"People vaccinated with Pfizer/BioNTech will most likely be protected from severe illness if infected with Omicron, BioNTech CEO says - WSJ",[]
474,beebinuya,Give up your dreams and die.,"Valenzuela City, National Capi",165,118,6707,201,World Health Organization country representative Rabindra Abeyasinghe said it will be premature to mandate the use of face shields again as the COVID-19 Omicron variant still needs to be studied. https://t.co/jxlsibsOP0 | via @onenewsph https://t.co/XrDFSJog2K,[]
475,BerkleyBearNews,"Bringing the news that is important, that as quick as a dog can bring it.",Doghouse,174,1327,1894559,0,U.S. braces for arrival of Omicron variant https://t.co/WnUKWSSkne #news #topstories #berkleybearnews,"['news', 'topstories', 'berkleybearnews']"
476,AWeathers14,Making life count one day at a time NCAT| 1906 🤙🏾| 💯| #BlackLivesMatter,,1178,245,31693,11158,"Omicron or Omarion, either way, please get vaxxed or boosted like you “Post to Be”.",[]
477,BTCTradeIdeas,"Bitcoin, Forex and Stock Market Headline News, Price Charts and Trade Ideas - Trading Strategies https://t.co/vPgBGYcnaR",Trading Strategies,524,600,89004,0,"$BTC.X $ETH.X $XRP.X Stocks, Bitcoin fall on Omicron, inflation concerns https://t.co/Xbc2y9s623 https://t.co/Cv3EpDx1E3 https://t.co/bZX7S3g5b4",[]
478,jez_1985,,"Sydney, Australia  🇦🇺",2047,2163,37054,40,"Prime Minister Scott Morrison has vowed Australia will not step backwards in the face of the Omicron variant of concern and will continue to reopen, move forward, and live with the virus.

https://t.co/M3HGTYHMs3",[]
479,dickman_robert,"Retired Fire/Paramedic Lieutenant, Clearwater Fire and Rescue","Fanning Springs, Fl",4990,3263,75236,1,"Evil humans sure do like their word games. Omicron: Omi definition: a freely competitive market operating without restrictions.
Cron definition: an omnipresent being whos knowledge is unquestionable and power is all encompassing.",[]
480,sggpas,"I'm a NJ pastor, a mom and wife, finding truth.",NJ,578,790,39917,939,"Last night @mehdirhasan both Dr Fauci and I explained why you should not hold off on your booster now
1. Omicron specific booster might not materialize or be required
2. You need the booster for this winter delta wave
3. Three mRNAs might still provide sufficient VNAs for omicron",[]
481,sameepshastri,Grandson of Shri Lal Bahadur Shastri |Member-@BJP4India|Chairman-#IIGL|Vice Chairman-@BRICS_CCI|President-#CYL|#IAmNewIndia|#Youth4India,India,784,18195,118647,0,WHO Omicron warning for unvaccinated vulnerable travellers https://t.co/lOA5Iwp6IO,[]
482,R2_UNIT,01000110 01101111 01110010 01100010 01101001 01100100 01100100 01100101 01101110,"Los Athens, California",13896,14372,41140,1421,"JUST IN - Europe finds only mild or asymptomatic #Omicron cases so far, based on information from public sources (Bloomberg)",['Omicron']
483,PandemicAction,We drive collective action to end the COVID-19 crisis and ensure the world is prepared for the next pandemic. Join us and #WearAMask.,,446,3418,3585,17,"Airfinity's independent forecast models show that in the best case scenario - i.e. where all vaccine producers are able to switch production facilities and scale quickly - six billion #Omicron vaccine doses could be produced by October 2022

Read more: https://t.co/8Eg7jVF3w4 https://t.co/4UiC5DccBK",[]
484,spicylaflare,"getting to it, but you knew that. 📶",on ya miiiind,638,741,6577,0,Had me looking up omicron  symptoms &amp; everything 🙃,[]
485,Techno_Vking,#NoMandatoryVaccines #NoVaccinePassports #NoVaccineMandates,,1960,1676,35301,506,"Could someone explain to me how they are getting away with this ludicrous Omicron bullshit because I'm starting to question my sanity. What the fuck is happening, why can so few people see the utter ridiculousness of the narrative?",[]
486,MrBabytoes,I love chicken wings. I'm mostly bored. 🤍,"bronx, NY",510,198,31024,3,Omicron sounds like a letter in the Greek alphabet?,[]
487,DidiFrench,"I never met you, but I miss you I know you're gone, but I won't forget you. I couldn't save you but I fought for you In memory of Tommy #BanLiveExport",Australia,16576,15097,497258,1376,"There was lots of potential for Omicron to have made its way to Europe before more severe restrictions were imposed this weekend.

Will Omicron be more or less virulent than the Delta variant? Read more here 👇",[]
488,spotarse,i'm not sure that's right,👙,534,513,12786,0,@nytimes say it like its a transformer #Omicron,['Omicron']
489,Joshua_Tiggz,Country Boi Gaymer - Dallas,"Dallas, Texas",35,6,1285,0,As a result the Autobots in the decepticons have decided to have Earth as their final battleground for the ultimate battle since Earth is merging with omicron! As a result the CDC in the world health organizations have changed the covid mutations into transformations!,[]
490,WburgGptPatch,"Local news, alerts, events and more. We’re your source for all things Williamsburg and Greenpoint.","Williamsburg-Greenpoint, NY",114,180,16063,0,"The goal is ""not to have shutdowns where shutdowns are not necessary, not to have unnecessary requirements where they're not needed."" https://t.co/TW3gQIHl6j",[]
491,jeffhomeloans,,"Hendersonville, TN",203,190,641,251,"Let’s be very clear: The Left is freaking out about #omicron because they KNOW it will evade the VACCINES. Basing a vaccine on a singular spike protein was stupid. People with normal, functioning immune systems and/or #NaturalImmunity have nothing to fear. #FactsNotFear",['omicron']
492,Soursop87,"🇯🇲 ✈ 🇨🇦 Raptors 🏀 ManUtd ⚽️  Reggae Boyz  🇯🇲

https://t.co/dpg5nFNG1c","Brampton,  Ontario Canada",1927,672,101651,3,"Jamaicans on Twitter are the  greatest. In less than a week we have gone from cussing bout SOE's to hyperbolic death penalties, to Omicron, to knee jerk ban of Africa, to Prof Gordon Shirley for national hero.",[]
493,bruceal06061355,"Husband, father, anti-globalist truth seeker.","British Columbia, Canada",552,428,31318,83,Just exactly how is #omicron spreading when one must be vaccinated to travel and show proof of a negative #Covid test. How?,"['omicron', 'Covid']"
494,Carolyn58911373,,,50,88,560,286,"Scott Morrison failed to deliver purpose-built quarantine facilities that could be shielding us from new 🦠variants, including Omicron. Every crisis is someone else's responsibility to @ScottMorrisonMP “it’s not my job” “it’s a matter for the states” “I don’t hold a hose” #auspol https://t.co/SAxCrTpcWF",[]
495,nlclarke1112,,,608,911,100112,464,Cartoon for @chronicleherald #Omicron #COVID19 https://t.co/zXazvNeXcy,"['Omicron', 'COVID19']"
496,carolinep0,🇪🇺 #FBPE #FBPPR Remainer for ever. Engaged citizen. Ordinary person. Pumpkin's cat nip dealer.,Milton Keynes,1982,2420,90712,1264,This once again shows why Johnson is unfit to lead us through the #Omicron crisis. https://t.co/7poVrs8qCR,['Omicron']
497,pyaztunekyakiya,I Am the MINORITY,isle of man ,4999,565,185994,93,"If you have a negative RTPCR result on departure from your country of origin &amp; you are double vaccinated, why should you have to have an RTPCR on arrival in India? What is the need ? Other than it being a deterrent to anyone wanting to come into the country. #Omicron #India",[]
498,PolitikoReal,"Geopolitics and Persuasion. From the fall of the Berlin Wall, Twin Towers and Lehman to the rise of Putin, Xi JinPing and Trump. From EU to Brexit.","New York, London, Rome",939,447,22267,1335,"One triple vaxxed Israeli physician reportedly infected another triple vaxxed physician with the Omicron variant. Both have mild symptoms. 
https://t.co/0g0EeJ55S7",[]
499,danusouls,"He/him,They/them. Food, Art, and Politics. Graphic Designer. ⚠️ I post NSFW images and political news⚠️","New York, NY",994,358,116257,11158,"Omicron or Omarion, either way, please get vaxxed or boosted like you “Post to Be”.",[]
500,GodessofChaos71,#Shadower71 #GoddessofChaos #MomOf6 #MimisOf5,"Gilbert, AZ",4969,2730,351993,307,"Viruses can mutate only when they get copied — when they spread. 

The more unvaccinated people there are, the more variants like Omicron we will have.",[]
501,DaObjector,"Oral historian, 
Sex Work is Real Work!!!","Ireland,",116,278,23898,0,"Omicron started on Europe. Fuck y'all talking bout. It's just one continent takes epidemics seriously and monitors whilst the other shirts on research and patents,exporting stigma and doing a genocide https://t.co/ZhsG07YqyV",[]
502,thenib,"Political cartoons, comics journalism, humor and non-fiction. Free daily comics in your inbox: https://t.co/lkmaHMmfXx",,190,68238,26629,2,Vaccine delinquency: https://t.co/cNHxrtOuGb,[]
503,ScarletJustice3,"""A lie gets halfway around the world before the truth has a chance to get its pants on.""-Winston Churchill",,134,166,18355,2884,"This is proven: The 'vaccinated' transmit the Delta variant. The 'vaccinated' transmit the Omicron variant.

There is absolutely no justification for Covid ""passports"" or vaccine travel bans. Period. The science does not back it up!",[]
504,PRINMICHELIZ,"Born bred Btn&Hove,53yo Vegan housebound wife of Everton fan.Mum of 2girls/Nanny to 1girl.❤️armchair sports,EBay,Olio,crime/horror/thriller tv&films,40-70s🎵🎶",,329,83,20374,103,"The Omicron coronavirus variant was present in the Netherlands a week before two flights arrived from South Africa carrying the virus, Dutch health officials now say. https://t.co/l2LbLFlexQ",[]
505,notrowenaa,,,246,152,123918,2497,"Dear Media

Please stop repeating anecdotes that physicians have seen mild cases of Omicron

The VAST majority of COVID cases of all variants are mild. The problem is a fraction are not, and when cases pile up, the fraction adds to a lot of hospitalization, death, and long-COVID",[]
506,ValerieAstles,anti Brexit pro EU psychiatric nurse .  Liverpudlian 🕷,"Newton Stewart, Scotland",4998,4540,171575,466,"In light of Omicron, Government’s #Covid Reset plan should have included:

✅ masks in classrooms not just corridors, &amp; all public indoor spaces
✅ free air filtration systems for schools
✅ wfh reintroduced
✅ #TRIPSwaiver for better global access to vaccines
✅ better sick pay",['Covid']
507,redview1975,"Married with 2 great children and a wonderful wife, FA Qualified coach I say what I think if don't like don't follow . SEE IT SAY IT  NEVER GIVE UP",MANCHESTER/UK,1167,1105,101802,0,"@latimeralder The same omicron variant not one person hospitalised or in A&amp;E in South Africa it original got discovered from?  ""We panicking too much here UK they say """,[]
508,dpedin,,Edinburgh,238,66,50659,513,"If you set any store by Omicron B being rearrangeable to “No Crimbo”, I’d just like to remind you that Get Brexit Done is an anagram of “being extorted”.",[]
509,_fehiin,She/her | Intersectional Feminist | BLM | ♓️,"Vancouver , Canada",761,1023,72054,3439,"Canada is expanding its travel ban to include Nigeria, Malawi and Egypt. (After previously imposing bans on southern African countries.)
Interestingly, there are far more confirmed cases of Omicron in European countries than in Nigeria, Malawi or Egypt. But they're not banned.",[]
510,texicangrrl,"TheTerakian's pinch hitter account. Radical humanist seeking oneness with nature. Martial artist, healing accomplice, curious monkey.",,1045,262,14486,2497,"Dear Media

Please stop repeating anecdotes that physicians have seen mild cases of Omicron

The VAST majority of COVID cases of all variants are mild. The problem is a fraction are not, and when cases pile up, the fraction adds to a lot of hospitalization, death, and long-COVID",[]
511,optimura1,"R1 de Microbiología y Parasitología, frikardo en mis ratos libres.",,274,31,582,2497,"Dear Media

Please stop repeating anecdotes that physicians have seen mild cases of Omicron

The VAST majority of COVID cases of all variants are mild. The problem is a fraction are not, and when cases pile up, the fraction adds to a lot of hospitalization, death, and long-COVID",[]
512,DanaTylerTV,"Anchor, CBS2 News at 6p, right before the @CBSEveningNews with @NorahODonnell","New York, NY",419,7923,18482,17,"PREPARING FOR OMICRON: Even before Omicron variant cases have been confirmed in the U.S, researchers are preparing for its arrival and racing to analyze how to fight it. More than 200 cases of the new variant have shown up in 20 countries. https://t.co/oZ5hpV0TdQ",[]
513,eurodan,"Conference interpreter (FR, DE, NL, SV to EN) and @cityjournalism graduate. Interested in UK/European politics, language and culture. Own views.",London and Brussels,3375,1305,23399,1598,"Some things to please keep in mind today: 
•There is NO data available yet regarding vaccine efficacy and Omicron. What you are hearing is speculation right now. That’s it. 
•Breakthrough infections DO NOT mean vaccines “don’t work.”
•DO NOT wait for variant specific boosters-",[]
514,PEltzholtz,"#Resistance🌊🌊🌊
""Dissent without action is consent."" HDT",Planet Earth,5003,2765,62761,3762,"We're going to fight the Omicron variant the way we’ve been fighting COVID-19 since the beginning—with scientific and knowledgeable actions and speed, not chaos and confusion.",[]
515,littlebytesnews,SAHM/blogger;tweet abt politics to parenting&everything in btwn(feed) #prolife #vaxed🚫#COVID19 mandates #news Contribute/Subscribe https://t.co/pNW32dq3V0,USA,13214,20662,1257369,1412,"🦠 Omicron - on a scale from 1-10, how bad is this going to be? This one's a weirdo, so I'm a 3, a 10, or anything in-between.

A thread below with my take on some of the key questions.

https://t.co/c7byYwPeHb

1/ https://t.co/vjteCSrrhh",[]
516,myrefuse,,,1387,80,12092,1598,"Some things to please keep in mind today: 
•There is NO data available yet regarding vaccine efficacy and Omicron. What you are hearing is speculation right now. That’s it. 
•Breakthrough infections DO NOT mean vaccines “don’t work.”
•DO NOT wait for variant specific boosters-",[]
517,answerswithjoe,Head Nerd at Answers With Joe on YouTube. Curator of interestingness. Purveyor of fine science. Writer of bad bios.,,616,25072,12480,2,So upset I never finished that killer sci-fi script I was working on titled The Omicron Variant.,[]
518,Ternacom,PhD Candidate in Development Finance @Stellenbosch University,"Cape Town, South Africa",5001,420,1754,582,"How do you pronounce ""Omicron"" anyway? There is no single, agreed-on English pronunciation, experts say. https://t.co/5asGScAGtO https://t.co/5bUDgNznRt",[]
519,DaviDubbs,"Burn the plantation, free the land 🎓 Bio + 🎓Sustainability 👨🏾‍🎓 PanAfrican-ML🚩EcoCom🌳 regrowing the prairie by day 🌾 (he/him) #landback @Blacks4Peace","anishinaabe land,turtle island",547,325,6860,2207,…what’s the real difference between Biden calling Omicron “the South African Variant” and Trump calling COVID “the China virus”?,[]
520,tokogriff_s,The news they don't tell you !,,309,248,46453,1335,"One triple vaxxed Israeli physician reportedly infected another triple vaxxed physician with the Omicron variant. Both have mild symptoms. 
https://t.co/0g0EeJ55S7",[]
521,CarrollGPatch,"Local news, alerts, events and more. We're your source for all things 
Carroll Gardens and Cobble Hill.","Carroll Gardens, Brooklyn",758,4203,25496,0,"The goal is ""not to have shutdowns where shutdowns are not necessary, not to have unnecessary requirements where they're not needed."" https://t.co/NJxdALJRDh",[]
522,secretbutterfly,"Woman in Limbo & Minion of Misha Collins. Disneyland is home away from home. Destiel trash account.
she/her",Central California,609,608,98571,73,"We don't know how #Omicron will behave. But we can make some educated guesses.

This is the calculation.

Having zero vaccines will definitely not protect you against it.

Having 3 vaccine doses probably will protect you against it.

So get boosted. As soon as you can.",['Omicron']
523,cayo1950,Acapulqueño. Soy Guerrerense,"Acapulco, México",2568,5012,14385,20,"Presumably, all those people who tested positive for SARS2 on arrival in the Netherlands would have had to have negative tests and/or vaccination in order to board their flight (https://t.co/03f0yjQily). This also hints vaccination might not stop omicron infection. 28/",[]
524,auricursine,"I likely find funny what your 3rd grader finds funny-#teacher, #Chicano, @Cal '83, @Orioles, @U2, @CFTUnion/@AFTUnion/@teachers_abc, #Dad, #Bosties, #vaxxed",LA/OC Borderlands,3242,3357,125783,12,Omicron coming for my holiday plans like… https://t.co/s8HOXQeSTC,[]
525,lizratcliffe3,,"Wales, United Kingdom",812,194,7293,237,"WEDNESDAY!!!

The lying blond bastard enables omicron spread in the country by telling us not to avoid socialising.

His bullshit already killed &gt;160,000 of us..

Can’t we arrest him for gross misconduct?

NOT MOVING ON!!!

You?",[]
526,AnthonyPanan,,,343,18,904,1412,"🦠 Omicron - on a scale from 1-10, how bad is this going to be? This one's a weirdo, so I'm a 3, a 10, or anything in-between.

A thread below with my take on some of the key questions.

https://t.co/c7byYwPeHb

1/ https://t.co/vjteCSrrhh",[]
527,tablelead,Tablelead is a sales-as-a-service platform for full-service restaurants delivering a pay-for-performance end-to-end service that brings sales.,"Virginia, USA",8,34,48714,0,Fed chairman: Omicron variant could push inflation pressures ‘well into next year’ https://t.co/tv6DXsMfgs,[]
528,drjohnmorley,"Columns and blogs on aging successfully
Professor, Geriatrics St Louis University",St louis,3034,4936,37185,0,Doctors hope Omicron causes milder cases of Covid — but it’s still too early to say https://t.co/Q9V0cYPUUH via @statnews,[]
529,NorrinR06303580,#DubNation,PNW via California 🇺🇲🇲🇽,600,735,22211,0,"@BadVaccineTakes Gee, how did i miss the nexus btw the omicron variant and Jeffrey Epstein?! 🙄",[]
530,JacekWierzbicki,24/7 Capital Markets News Service plus independent ideas; Links & RT ≠ endorsement; also @BlackCentaurFX,,1943,1239,1312555,0,Powell Lays Groundwork for Faster End to Stimulus as Inflation Outlook Worsens https://t.co/DKyju15Kz3 via WSJ #news #WSJ,"['news', 'WSJ']"
531,nobody_indepth,당분간 쉽니다.,,633,4401,18094,28,"However, even if it's true that previous VOCs had increased virulence, that correlation does not necessarily have to also hold up for Omicron. 

There's no selection for virulence (decreased or increased - despite what many may want you to believe)...

38/",[]
532,StanM9502,"Mi mejor amigo es Kyle Broflovski, mi papá es un imbécil, OMG, they Killed Kenny, You Bastards!!! Cartman es un culo gordo #ManUnitedCuba #TwitterCuba","South Park, Colorado",849,2878,14853,2,Omicron https://t.co/GMUIA3oTnm,[]
533,PedroKiray,"59 y.o.
Former photographer of male nude.",Praia Grande SP BR.,270,268,24041,10,Latest news updates: Brazil confirms Latin America’s first reported cases of Omicron variant https://t.co/lDtQhRE21G,[]
534,TheFilthyFacts,They have BILLION$ into media lies. The truth doesn't have that kinda budget. Watch out! 🚫 #NewWorldOrder 🚫 #JUSTICE #Patriots #AntiDeSantis #AntiClinton,NO THANKS NEW WORLD ORDER,85,20,2511,0,@ScottGottliebMD Please read my pinned tweet on #Omicron,['Omicron']
535,hyland114,"Native New Yorker, Hap Married, #MAGA#Blue Lives & Vets Matter. Love Animals. sense Humor. Enjoy Life.List will gt u blocked.#1A #2A. Rockefeller Center Tree",United States,5346,4995,213481,0,These Vaccines are Still EXPERIMENTAL❗️ Manufacturers don’t know what long term results will be to vaccinated.  Why would anyone want to keep injecting more n more unknown substance into themselves n family⁉️👺 https://t.co/b0UMcXH2iD,[]
536,leftcoastjoe,"Certified Truth Outlaw, Politically Homeless, Warm-hearted Misanthrope, & Friend to the Universe #Covid1984 #DoNotComply #NoVaxports #NoVaxMandates #FreeAssange","San Francisco, CA",290,188,16970,1505,This 'Omicron variant' sounds like the common cold.,[]
537,C0VIDISAIRBORNE,"Mostly covid rants with the occasional attempt at humor. Zero tolerance for hate, disinformation and trolling.","Montréal, Québec",74,199,9114,6,Omicron can’t come be brought into Canada by American travellers because the United States is very effective at controlling COVID.,[]
538,jhowarton,Jesus Christ is #1 in my life. Frequent traveler to the Middle East & East Africa for THE Father's business. Grateful for my awesome wife & 3 children.,,2884,1411,62117,2884,"This is proven: The 'vaccinated' transmit the Delta variant. The 'vaccinated' transmit the Omicron variant.

There is absolutely no justification for Covid ""passports"" or vaccine travel bans. Period. The science does not back it up!",[]
539,michelefitzy1,"Student of life (unsure of my grades lol)
Will post/retweet whatever i find of interest and not endorsement
I am not google, so look up info yourself 😊",,802,443,19310,1335,"One triple vaxxed Israeli physician reportedly infected another triple vaxxed physician with the Omicron variant. Both have mild symptoms. 
https://t.co/0g0EeJ55S7",[]
540,Neugierfragen,"Dipl.-Ingenieur i. R.
• pragmatisch, bodenständig
• 3 x geimpft, last Moderna
▶️ MaskeBleibtAuf
 #LockdownJETZT
#DankeWieler
#teamdrosten",NRW/Rheinland 🇩🇪,2148,686,32487,192,"To further support what I stated above: Omicron Unlikely to Cause Severe Illness in Vaccinated People, BioNTech Founder Says. Variant could lead to more infections but vaccinated people likely remain protected from severe disease. https://t.co/72i2ugpMHK",[]
541,naija_frommars,Lifestyle_Humor_Fitness,"Los Angeles, CA",326,310,24220,11158,"Omicron or Omarion, either way, please get vaxxed or boosted like you “Post to Be”.",[]
542,EmiliavillaJ,"Ingeniero en Planificacion de Proyectos Sector Eléctrico , Petróleo y Gas",Venezuela,670,332,13744,71,"The Omicron coronavirus variant was present in the Netherlands a week before two flights arrived from South Africa carrying the virus, Dutch health officials now say. https://t.co/3McIoj8BsB",[]
543,bunrxm,enby bun. they/them. 🐰🤓🤖,¯\_(ツ)_/¯,1990,1985,1020825,4,Not sure why people are confused about how to pronounce omicron when Lrrr made it clear like 2 decades ago https://t.co/VDl0PJkb6d,[]
